Gestioni collegate complete;Att. IVA;Regime IVA;Sez.;Protocollo;Data registrazione;Numero;Data doc.;Data ricezione;Fornitore;Tipo doc.;Totale documento;Netto a pagare;Ritenuta;Valuta;Causale;Allegati
Si;1;Normale;1;160;23-03-2026;131;16-03-2026;23-03-2026;ODONTOCAP S.R.L.;Fattura;7.542,50;0,00;0,00;EUR;1;No
Si;1;Normale;1;159;20-03-2026;03630/2026;20-03-2026;20-03-2026;BIAGGINI MEDICAL DEVICES S.R.L.;Fattura;110,62;110,62;0,00;EUR;1;Si
Si;1;Normale;1;158;20-03-2026;4109646308;19-03-2026;20-03-2026;HENRY SCHEIN KRUGG S.R.L;Fattura;619,31;619,31;0,00;EUR;1;No
Si;1;Normale;1;157;20-03-2026;4109645875;19-03-2026;20-03-2026;HENRY SCHEIN KRUGG S.R.L;Nota di credito;1.667,74;1.667,74;0,00;EUR;3;No
Si;1;Normale;1;156;19-03-2026;63;10-03-2026;19-03-2026;2BL MEDICA SRL;Fattura;552,00;552,00;0,00;EUR;1;No
Si;1;Normale;1;155;18-03-2026;V012602216356;17-03-2026;18-03-2026;SORGENIA S.P.A;Fattura;653,80;653,80;0,00;EUR;1;Si
Si;1;Normale;1;154;18-03-2026;4109644258;17-03-2026;18-03-2026;HENRY SCHEIN KRUGG S.R.L;Fattura;45,14;45,14;0,00;EUR;1;No
Si;1;Normale;1;153;17-03-2026;118/2026;17-03-2026;17-03-2026;CONFIDENT COMMERCIALE HOLDING S.P.A. SOCIETA' BENEFIT;Fattura;4.183,95;4.183,95;0,00;EUR;1;Si
Si;1;Normale;1;152;16-03-2026;9590721573;16-03-2026;16-03-2026;INVISALIGN S.R.L.;Fattura;200,49;200,49;0,00;EUR;1;No
Si;1;Normale;1;151;16-03-2026;9590721572;16-03-2026;16-03-2026;INVISALIGN S.R.L.;Fattura;200,49;200,49;0,00;EUR;1;No
Si;1;Normale;1;150;14-03-2026;AS00738725;14-03-2026;14-03-2026;FASTWEB SPA;Fattura;231,80;231,80;0,00;EUR;1;No
Si;1;Normale;1;149;13-03-2026;4109641919;12-03-2026;13-03-2026;HENRY SCHEIN KRUGG S.R.L;Fattura;14,05;14,05;0,00;EUR;1;No
Si;1;Normale;1;148;13-03-2026;4109641855;12-03-2026;13-03-2026;HENRY SCHEIN KRUGG S.R.L;Fattura;28,09;28,09;0,00;EUR;1;No
Si;1;Normale;1;147;13-03-2026;4109641852;12-03-2026;13-03-2026;HENRY SCHEIN KRUGG S.R.L;Nota di credito;28,09;28,09;0,00;EUR;3;No
Si;1;Normale;1;146;13-03-2026;4109641786;12-03-2026;13-03-2026;HENRY SCHEIN KRUGG S.R.L;Fattura;1.667,74;1.667,74;0,00;EUR;1;No
Si;1;Normale;1;145;12-03-2026;ML-721;11-03-2026;12-03-2026;DOT IMPRESA S.R.L.;Nota di credito;178,80;0,00;0,00;EUR;3;No
Si;1;Normale;1;144;12-03-2026;341501;11-03-2026;12-03-2026;EDENRED ITALIA SRL;Fattura;431,74;431,74;0,00;EUR;1;No
Si;1;Normale;1;143;12-03-2026;341028;11-03-2026;12-03-2026;EDENRED ITALIA SRL;Fattura;12,81;12,81;0,00;EUR;1;No
Si;1;Normale;1;142;12-03-2026;G12000;11-03-2026;12-03-2026;EDENRED ITALIA SRL;Nota di debito;352,00;352,00;0,00;EUR;4;No
No;1;Normale;1;141;11-03-2026;13;11-03-2026;11-03-2026;PROVENZANO PASQUALE;Fattura;1.743,32;1.394,66;348,66;EUR;1;No
Si;1;Normale;1;140;10-03-2026;002032;05-03-2026;10-03-2026;ECOLOGIA AMBIENTE SRL;Fattura;788,12;788,12;0,00;EUR;1;No
Si;1;Normale;1;139;10-03-2026;46;28-02-2026;10-03-2026;R.D.R. DENTAL S.A.S. DI BABOLIN DANILO E VANZULLI RAFFAELE;Fattura;3.774,00;0,00;0,00;EUR;1;No
Si;1;Normale;1;138;09-03-2026;14;28-02-2026;09-03-2026;MALVEDA MEL BRENIX;Fattura;272,00;272,00;0,00;EUR;252;No
Si;1;Normale;1;137;06-03-2026;3Mi2026;06-03-2026;06-03-2026;ELSHERIF MOHAMED FATHY ISMAIL;Fattura;824,43;824,43;0,00;EUR;252;No
Si;1;Normale;1;136;06-03-2026;4;06-03-2026;06-03-2026;ANDOLINA ALESSIA;Fattura;2.488,01;0,00;0,00;EUR;252;No
Si;1;Normale;1;135;06-03-2026;43/S01;28-02-2026;06-03-2026;FBM HEALTHCARE SRL UNIPERSONALE;Fattura;20,58;20,58;0,00;EUR;202;Si
Si;1;Normale;1;134;06-03-2026;2026/00/0011250;27-02-2026;06-03-2026;J DENTAL CARE SRL;Fattura differita art.21, c.4 lett. a);81,88;81,88;0,00;EUR;202;No
Si;1;Normale;1;133;06-03-2026;2026/00/0011249;27-02-2026;06-03-2026;J DENTAL CARE SRL;Fattura differita art.21, c.4 lett. a);4.301,32;4.301,32;0,00;EUR;202;No
Si;1;Normale;1;132;05-03-2026;6598032502;04-03-2026;05-03-2026;INVISALIGN S.R.L.;Nota di credito;137,80;137,80;0,00;EUR;3;No
Si;1;Normale;1;131;05-03-2026;6598032332;04-03-2026;05-03-2026;INVISALIGN S.R.L.;Nota di credito;123,76;123,76;0,00;EUR;3;No
Si;1;Normale;1;130;05-03-2026;6598032331;04-03-2026;05-03-2026;INVISALIGN S.R.L.;Nota di credito;123,76;123,76;0,00;EUR;3;No
Si;1;Normale;1;129;05-03-2026;6598032330;04-03-2026;05-03-2026;INVISALIGN S.R.L.;Nota di credito;137,80;137,80;0,00;EUR;3;No
Si;1;Normale;1;128;05-03-2026;6598032329;04-03-2026;05-03-2026;INVISALIGN S.R.L.;Nota di credito;123,76;123,76;0,00;EUR;3;No
Si;1;Normale;1;127;05-03-2026;6598032328;04-03-2026;05-03-2026;INVISALIGN S.R.L.;Nota di credito;69,94;69,94;0,00;EUR;3;No
Si;1;Normale;1;126;05-03-2026;4109636665;04-03-2026;05-03-2026;HENRY SCHEIN KRUGG S.R.L;Fattura;784,94;784,94;0,00;EUR;1;No
Si;1;Normale;1;125;05-03-2026;2026/0000504/00;28-02-2026;05-03-2026;CRISTAL GROUP SRL;Fattura;689,00;689,00;0,00;EUR;349;Si
Si;1;Normale;1;124;05-03-2026;236;28-02-2026;05-03-2026;SAPIA PRATESI & PARTNERS S.R.L.;Fattura;1.335,90;1.335,90;0,00;EUR;1;No
Si;1;Normale;1;123;05-03-2026;VED/707;27-02-2026;05-03-2026;WISIL LAB MILANO SRL;Fattura differita art.21, c.4 lett. a);149,60;149,60;0,00;EUR;202;No
Si;1;Normale;1;122;04-03-2026;2/2026-2026;03-03-2026;04-03-2026;EDOARDO PAGLIOLI;Fattura;4.048,33;0,00;0,00;EUR;252;No
Si;1;Normale;1;121;04-03-2026;26500000105;28-02-2026;04-03-2026;AZIENDA FARMACIE MILANESI SPA;Fattura differita art.21, c.4 lett. a);23,74;23,74;0,00;EUR;202;Si
Si;1;Normale;1;120;03-03-2026;9590711819;02-03-2026;03-03-2026;INVISALIGN S.R.L.;Fattura;1.488,24;1.488,24;0,00;EUR;1;No
Si;1;Normale;1;119;03-03-2026;107/2026;02-03-2026;03-03-2026;CONFIDENT COMMERCIALE HOLDING S.P.A. SOCIETA' BENEFIT;Fattura;6.332,50;6.332,50;0,00;EUR;1;Si
Si;1;Normale;1;118;03-03-2026;5/A;28-02-2026;03-03-2026;GIGANTI ALESSANDRA;Fattura;1.991,97;1.991,97;0,00;EUR;252;No
Si;1;Normale;1;117;03-03-2026;26500000132;28-02-2026;03-03-2026;AZIENDA FARMACIE MILANESI SPA;Fattura differita art.21, c.4 lett. a);26,79;26,79;0,00;EUR;202;Si
Si;1;Normale;1;116;02-03-2026;14;02-03-2026;02-03-2026;D'ANNA FRANCESCO;Fattura;5.175,22;5.175,22;0,00;EUR;252;No
No;1;Normale;1;115;02-03-2026;13/001;02-03-2026;02-03-2026;LAZZARI GIUSEPPE;Fattura;1.220,00;1.020,00;200,00;EUR;1;No
No;1;Normale;1;114;02-03-2026;12/001;02-03-2026;02-03-2026;LAZZARI GIUSEPPE;Fattura;6.341,40;5.073,12;1.268,28;EUR;1;No
Si;1;Normale;1;113;02-03-2026;9590712037;02-03-2026;02-03-2026;INVISALIGN S.R.L.;Fattura;1.336,61;1.336,61;0,00;EUR;1;No
